Time,Throughput,RTT,Loss
1,12032,,
2,12032,,
3,12032,,
4,12032,,
5,12032,,
6,12032,,
7,12032,,
8,12032,,
9,12032,,
10,12032,,
11,12032,,
12,12032,,
13,12032,,
14,12032,,
15,12032,,
16,12032,,
17,12032,,
18,12032,,
19,12032,,
20,12032,,
21,12032,,
22,12032,,
23,12032,,
24,12032,,
25,12032,,
26,12032,,
27,12032,,
28,12032,,
29,12032,,
30,12032,,
31,12032,,
32,12032,,
33,12032,,
34,12032,,
35,12032,,
36,12032,,
37,12032,,
38,12032,,
39,12032,,
40,12032,,
41,12032,,
42,12032,,
43,12032,,
44,12032,,
45,12032,,
46,12032,,
47,12032,,
48,12032,,
49,12032,,
50,12032,,
51,12032,,
52,12032,,
53,12032,,
54,12032,,
55,12032,,
56,12032,,
57,12032,,
58,12032,,
59,12032,,
60,12032,,
61,12032,,
62,12032,,
63,12032,,
64,12032,,
65,12032,,
66,12032,,
67,12032,,
68,12032,,
69,12032,,
70,12032,,
71,12032,,
72,12032,,
73,12032,,
74,12032,,
75,12032,,
76,12032,,
77,12032,,
78,12032,,
79,12032,,
80,12032,,
81,12032,,
82,12032,,
83,12032,,
84,12032,,
85,12032,,
86,12032,,
87,12032,,
88,12032,,
89,12032,,
90,12032,,
91,12032,,
92,12032,,
93,12032,,
94,12032,,
95,12032,,
96,12032,,
97,12032,,
98,12032,,
99,12032,,
100,12032,,
101,12032,,
102,12032,,
103,12032,,
104,12032,,
105,12032,,
106,12032,,
107,12032,,
108,12032,,
109,12032,,
110,12032,,
111,12032,,
112,12032,,
113,12032,,
114,12032,,
115,12032,,
116,12032,,
117,12032,,
118,12032,,
119,12032,,
120,12032,,
121,12032,,
122,12032,,
123,12032,,
124,12032,,
125,12032,,
126,12032,,
127,12032,,
128,12032,,
129,12032,,
130,12032,,
131,12032,,
132,12032,,
133,12032,,
134,12032,,
135,12032,,
136,12032,,
137,12032,,
138,12032,,
139,12032,,
140,12032,,
141,12032,,
142,12032,,
143,12032,,
144,12032,,
145,12032,,
146,12032,,
147,12032,,
148,12032,,
149,12032,,
150,12032,,
151,12032,,
152,12032,,
153,12032,,
154,12032,,
155,12032,,
156,12032,,
157,12032,,
158,12032,,
159,12032,,
160,12032,,
161,12032,,
162,12032,,
163,12032,,
164,12032,,
165,12032,,
166,12032,,
167,12032,,
168,12032,,
169,12032,,
170,12032,,
171,12032,,
172,12032,,
173,12032,,
174,12032,,
175,12032,,
176,12032,,
177,12032,,
178,12032,,
179,12032,,
180,12032,,
181,12032,,
182,12032,,
183,12032,,
184,12032,,
185,12032,,
186,12032,,
187,12032,,
188,12032,,
189,12032,,
190,12032,,
191,12032,,
192,12032,,
193,12032,,
194,12032,,
195,12032,,
196,12032,,
197,12032,,
198,12032,,
199,12032,,
200,12032,,
201,12032,,
202,12032,,
203,12032,,
204,12032,,
205,12032,,
206,12032,,
207,12032,,
208,12032,,
209,12032,,
210,12032,,
211,12032,,
212,12032,,
213,12032,,
214,12032,,
215,12032,,
216,12032,,
217,12032,,
218,12032,,
219,12032,,
220,12032,,
221,12032,,
222,12032,,
223,12032,,
224,12032,,
225,12032,,
226,12032,,
227,12032,,
228,12032,,
229,12032,,
230,12032,,
231,12032,,
232,12032,,
233,12032,,
234,12032,,
235,12032,,
236,12032,,
237,12032,,
238,12032,,
239,12032,,
240,12032,,
241,12032,,
242,12032,,
243,12032,,
244,12032,,
245,12032,,
246,12032,,
247,12032,,
248,12032,,
249,12032,,
250,12032,,
251,12032,,
252,12032,,
253,12032,,
254,12032,,
255,12032,,
256,12032,,
257,12032,,
258,12032,,
259,12032,,
260,12032,,
261,12032,,
262,12032,,
263,12032,,
264,12032,,
265,12032,,
266,12032,,
267,12032,,
268,12032,,
269,12032,,
270,12032,,
271,12032,,
272,12032,,
273,12032,,
274,12032,,
275,12032,,
276,12032,,
277,12032,,
278,12032,,
279,12032,,
280,12032,,
281,12032,,
282,12032,,
283,12032,,
284,12032,,
285,12032,,
286,12032,,
287,12032,,
288,12032,,
289,12032,,
290,12032,,
291,12032,,
292,12032,,
293,12032,,
294,12032,,
295,12032,,
296,12032,,
297,12032,,
298,12032,,
299,12032,,
300,12032,,
301,12032,,
302,12032,,
303,12032,,
304,12032,,
305,12032,,
306,12032,,
307,12032,,
308,12032,,
309,12032,,
310,12032,,
311,12032,,
312,12032,,
313,12032,,
314,12032,,
315,12032,,
316,12032,,
317,12032,,
318,12032,,
319,12032,,
320,12032,,
321,12032,,
322,12032,,
323,12032,,
324,12032,,
325,12032,,
326,12032,,
327,12032,,
328,12032,,
329,12032,,
330,12032,,
331,12032,,
332,12032,,
333,12032,,
334,12032,,
335,12032,,
336,12032,,
337,12032,,
338,12032,,
339,12032,,
340,12032,,
341,12032,,
342,12032,,
343,12032,,
344,12032,,
345,12032,,
346,12032,,
347,12032,,
348,12032,,
349,12032,,
350,12032,,
351,12032,,
352,12032,,
353,12032,,
354,12032,,
355,12032,,
356,12032,,
357,12032,,
358,12032,,
359,12032,,
360,12032,,
361,12032,,
362,12032,,
363,12032,,
364,12032,,
365,12032,,
366,12032,,
367,12032,,
368,12032,,
369,12032,,
370,12032,,
371,12032,,
372,12032,,
373,12032,,
374,12032,,
375,12032,,
376,12032,,
377,12032,,
378,12032,,
379,12032,,
380,12032,,
381,12032,,
382,12032,,
383,12032,,
384,12032,,
385,12032,,
386,12032,,
387,12032,,
388,12032,,
389,12032,,
390,12032,,
391,12032,,
392,12032,,
393,12032,,
394,12032,,
395,12032,,
396,12032,,
397,12032,,
398,12032,,
399,12032,,
400,12032,,
401,12032,,
402,12032,,
403,12032,,
404,12032,,
405,12032,,
406,12032,,
407,12032,,
408,12032,,
409,12032,,
410,12032,,
411,12032,,
412,12032,,
413,12032,,
414,12032,,
415,12032,,
416,12032,,
417,12032,,
418,12032,,
419,12032,,
420,12032,,
421,12032,,
422,12032,,
423,12032,,
424,12032,,
425,12032,,
426,12032,,
427,12032,,
428,12032,,
429,12032,,
430,12032,,
431,12032,,
432,12032,,
433,12032,,
434,12032,,
435,12032,,
436,12032,,
437,12032,,
438,12032,,
439,12032,,
440,12032,,
441,12032,,
442,12032,,
443,12032,,
444,12032,,
445,12032,,
446,12032,,
447,12032,,
448,12032,,
449,12032,,
450,12032,,
451,12032,,
452,12032,,
453,12032,,
454,12032,,
455,12032,,
456,12032,,
457,12032,,
458,12032,,
459,12032,,
460,12032,,
461,12032,,
462,12032,,
463,12032,,
464,12032,,
465,12032,,
466,12032,,
467,12032,,
468,12032,,
469,12032,,
470,12032,,
471,12032,,
472,12032,,
